"subject","model","LL","null_LL","G2","df","p","fevals","gevals","niter","convcode"
"101","yoked",-131.653313101755,-79.6453251470909,104.015975909328,20,2.39114863735605e-13,70,685,54,0
"102","yoked",-120.842043506299,-78.5668268643353,84.5504332839282,20,6.54339488234858e-10,81,855,60,0
"103","yoked",-150.443884079804,-78.1647030283921,144.558362102824,20,6.88203829904651e-21,146,1622,111,1
"104","yoked",-215.558163441031,-77.8341135340174,275.448099814027,20,8.08440791443181e-47,101,1176,76,0
"105","yoked",-85.1356173271686,-76.142746682955,17.9857412884271,20,0.58834757628194,91,1040,72,0
"106","yoked",-179.148513468572,-78.3727767595183,201.551473418107,20,5.54969894988516e-32,89,951,63,0
"107","yoked",-115.625360900778,-78.8981975110603,73.4543267794356,20,4.9222247018368e-08,93,982,68,0
"108","yoked",-118.771804119349,-72.5305650961363,92.4824780464251,20,2.71989318105296e-11,103,1006,69,0
"109","yoked",-208.09169808192,-67.9348319981746,280.313732167492,20,8.29874893377662e-48,126,1235,90,0
"110","yoked",-129.164440680821,-80.8365037971143,96.6558737674127,20,4.97261488880436e-12,88,987,69,0
"111","yoked",-137.768547779697,-78.0014812466138,119.534133066165,20,3.47791062990613e-16,101,1005,70,0
"112","yoked",-146.014305224936,-74.9715427099377,142.085525029996,20,2.03369394547589e-20,102,1218,82,0
"113","yoked",-105.370067755567,-72.5128314712738,65.7144725685871,20,8.97538122052268e-07,81,739,61,0
"114","yoked",-119.758469598405,-80.4381471244958,78.6406449478191,20,6.6705203733292e-09,106,1071,77,0
"101","unyoked",-112.237377363348,-79.6453251470909,65.1841044325138,21,2.03436588345738e-06,122,1389,93,0
"102","unyoked",-100.987048376576,-78.5668268643353,44.8404430244809,21,0.0018174211818994,104,1314,85,0
"103","unyoked",-94.9003713198831,-78.1647030283921,33.4713365829821,21,0.0412450428883622,150,1493,109,0
"104","unyoked",-208.580457051305,-77.8341135340174,261.492687034574,21,2.0036128717057e-43,98,1236,84,0
"105","unyoked",-81.9419913356555,-76.142746682955,11.598489305401,21,0.949828621524227,117,1429,91,0
"106","unyoked",-116.381779099684,-78.3727767595183,76.0180046803321,21,3.6961461969754e-08,114,1064,81,0
"107","unyoked",-95.0870711756565,-78.8981975110603,32.3777473291925,21,0.0535887022690677,104,1229,82,0
"108","unyoked",-116.169243374429,-72.5305650961363,87.2773565565858,21,4.73957820541062e-10,119,1366,92,0
"109","unyoked",-117.551705938631,-67.9348319981746,99.2337478809131,21,3.94182345130818e-12,116,1336,90,0
"110","unyoked",-108.029591972484,-80.8365037971143,54.3861763507393,21,8.68176202538611e-05,140,1693,107,0
"111","unyoked",-117.212535874491,-78.0014812466138,78.4221092557541,21,1.47944804360143e-08,97,877,66,0
"112","unyoked",-125.798281120692,-74.9715427099377,101.653476821509,21,1.47011101688839e-12,109,1292,86,0
"113","unyoked",-95.1585658034596,-72.5128314712738,45.2914686643717,21,0.00158570633222411,117,1128,87,0
"114","unyoked",-116.462773310084,-80.4381471244958,72.0492523711773,21,1.64321423750568e-07,108,1264,84,0
